id,value,question_id,created_at,updated_at,correct
1,\( 2 \),1,2021-02-07 16:12:19 UTC,2021-02-11 01:19:19 UTC,false
2,\( 4 \),1,2021-02-07 16:12:55 UTC,2021-02-11 01:19:46 UTC,false
3,\( 9 \),1,2021-02-07 16:13:03 UTC,2021-02-11 01:19:52 UTC,false
4,\( 10 \),1,2021-02-07 16:13:08 UTC,2021-02-11 01:19:56 UTC,true
5, \( \unicode{x2013}1 + 12i \),2,2021-02-07 16:15:26 UTC,2021-02-11 01:21:21 UTC,true
6, \( \unicode{x2013}1 - 6i \),2,2021-02-07 16:15:43 UTC,2021-02-11 01:21:26 UTC,false
7, \( 15 + 12i \),2,2021-02-07 16:15:54 UTC,2021-02-11 01:21:30 UTC,false
8, \( 15 - 6i \),2,2021-02-07 16:16:09 UTC,2021-02-11 01:21:35 UTC,false
9,\( 9mp \),3,2021-02-07 16:17:06 UTC,2021-02-11 01:22:22 UTC,false
10,\( 20mp \),3,2021-02-07 16:17:14 UTC,2021-02-11 01:22:28 UTC,false
11,\( 5m + 4p \),3,2021-02-07 16:17:24 UTC,2021-02-11 01:22:18 UTC,true
12,\( 4m + 5p \),3,2021-02-07 16:17:36 UTC,2021-02-11 01:22:37 UTC,false
13,Kathy will complete the repairs within \( 108 \) days.,4,2021-02-07 16:19:21 UTC,2021-02-11 01:23:59 UTC,false
14,Kathy starts each week with \( 108 \) phones to fix.,4,2021-02-07 16:19:38 UTC,2021-02-11 01:23:54 UTC,true
15,Kathy repairs phones at a rate of \( 108 \) per hour.,4,2021-02-07 16:20:05 UTC,2021-02-11 01:24:08 UTC,false
16,Kathy repairs phones at a rate of \( 108 \) per day.,4,2021-02-07 16:20:18 UTC,2021-02-11 01:24:12 UTC,false
17,\( 4x^2y^2 \),5,2021-02-07 16:21:45 UTC,2021-02-11 01:25:01 UTC,false
18,\( 8xy^2 - 6y^2 \),5,2021-02-07 16:22:07 UTC,2021-02-11 01:25:06 UTC,false
19,\( 2x^2y + 2xy^2 \),5,2021-02-07 16:22:35 UTC,2021-02-11 01:24:56 UTC,true
20,\( 2x^2y + 8xy^2 - 6y^2 \),5,2021-02-07 16:22:59 UTC,2021-02-11 01:25:18 UTC,false
21,\( 3 \),6,2021-02-07 16:25:11 UTC,2021-02-11 01:26:19 UTC,true
22,\( 5.7 \),6,2021-02-07 16:25:21 UTC,2021-02-11 01:26:23 UTC,false
23,\( 9.5 \),6,2021-02-07 16:25:29 UTC,2021-02-11 01:26:29 UTC,false
24,\( 14.3 \),6,2021-02-07 16:25:36 UTC,2021-02-11 01:26:33 UTC,false
25,"\(P = {  {\displaystyle \Bigl ( {r \over 1,200} \Bigr ) \Bigl (1+ {r \over 1,200} \Bigr )^N} \over  \displaystyle \Bigl (1+ \displaystyle {r \over 1,200} \Bigr )^N -1} m \)",7,2021-02-07 16:26:24 UTC,2021-02-11 01:27:36 UTC,false
26,"\( P = {  {\displaystyle \Bigl (1+ \displaystyle {r \over 1,200} \Bigr )^N -1} \over \displaystyle \Bigl ( {r \over 1,200} \Bigr ) \Bigl (1+ {r \over 1,200} \Bigr )^N} m \)",7,2021-02-07 16:27:53 UTC,2021-02-11 01:27:03 UTC,true
27,"\( P = \displaystyle \Bigl  ( \displaystyle {r \over 1,200} \Bigr ) m \)",7,2021-02-07 16:33:09 UTC,2021-02-11 01:27:41 UTC,false
28,\( P = \displaystyle \Bigl  ( \displaystyle {1200 \over r} \Bigr ) m \),7,2021-02-07 16:34:18 UTC,2021-02-11 01:27:46 UTC,false
29,\( 0 \),8,2021-02-07 16:35:19 UTC,2021-02-11 01:28:15 UTC,false
30,\( 1 \),8,2021-02-07 16:35:27 UTC,2021-02-11 01:28:19 UTC,false
31,\( 2 \),8,2021-02-07 16:35:32 UTC,2021-02-11 01:28:08 UTC,true
32,\( 4 \),8,2021-02-07 16:35:38 UTC,2021-02-11 01:28:23 UTC,false
33,"\( (\unicode{x2013}5, \unicode{x2013}2) \)",9,2021-02-07 16:36:56 UTC,2021-02-11 01:28:50 UTC,false
34,"\( (3, \unicode{x2013}8) \)",9,2021-02-07 16:37:13 UTC,2021-02-11 01:28:46 UTC,true
35,"\( (4, \unicode{x2013}6) \)",9,2021-02-07 16:37:27 UTC,2021-02-11 01:28:55 UTC,false
36,"\( (9, \unicode{x2013}6) \)",9,2021-02-07 16:37:38 UTC,2021-02-11 01:29:04 UTC,false
37,\( 8 \),10,2021-02-07 17:06:44 UTC,2021-02-11 01:29:37 UTC,true
38,\( 0 \),10,2021-02-07 17:06:53 UTC,2021-02-11 01:29:42 UTC,false
39,\( \unicode{x2013}1 \),10,2021-02-07 17:07:09 UTC,2021-02-11 01:29:46 UTC,false
40,\( \unicode{x2013}8 \),10,2021-02-07 17:07:18 UTC,2021-02-11 01:29:50 UTC,false
41,\( $2.60 \),11,2021-02-07 17:08:05 UTC,2021-02-11 01:30:15 UTC,false
42,\( $2.85 \),11,2021-02-07 17:08:24 UTC,2021-02-11 01:30:18 UTC,false
43,\( $2.95 \),11,2021-02-07 17:08:31 UTC,2021-02-11 01:30:24 UTC,false
44,\( $3.35 \),11,2021-02-07 17:08:39 UTC,2021-02-11 01:30:06 UTC,true
45,"\( (0,7) \)",12,2021-02-07 17:09:29 UTC,2021-02-11 01:30:47 UTC,false
46,"\( (1,7) \)",12,2021-02-07 17:09:34 UTC,2021-02-11 01:30:51 UTC,false
47,"\( (7,7) \)",12,2021-02-07 17:09:40 UTC,2021-02-11 01:30:55 UTC,false
48,"\( (14,2) \)",12,2021-02-07 17:09:51 UTC,2021-02-11 01:30:40 UTC,true
49,\(   \displaystyle {{ \displaystyle 2x + 5 } \over \displaystyle { x^2 + 5x + 6}}  \),13,2021-02-07 17:11:22 UTC,2021-02-11 01:32:35 UTC,false
50,\(   \displaystyle {{ \displaystyle x^2 + 5x + 6} \over \displaystyle {2x + 5  }}  \),13,2021-02-07 17:18:18 UTC,2021-02-11 01:32:29 UTC,true
51,\( 2x + 5 \),13,2021-02-07 17:18:30 UTC,2021-02-11 01:32:40 UTC,false
52,\( x^2 + 5x + 6 \),13,2021-02-07 17:18:43 UTC,2021-02-11 01:32:45 UTC,false
53,\( 2^{12} \),14,2021-02-07 17:19:26 UTC,2021-02-11 01:33:03 UTC,true
54,\( 4^{4} \),14,2021-02-07 17:19:38 UTC,2021-02-11 01:33:13 UTC,false
55,\( 8^{2} \),14,2021-02-07 17:19:46 UTC,2021-02-11 01:33:18 UTC,false
56,The value cannot be determined from the information given.,14,2021-02-07 17:20:00 UTC,2021-02-11 20:17:52 UTC,false
57,\( 3 \text{ and } 5 \),15,2021-02-07 17:21:21 UTC,2021-02-11 01:33:54 UTC,false
58,\( 6 \text{ and } 35 \),15,2021-02-07 17:23:24 UTC,2021-02-11 01:33:58 UTC,false
59,\( 10 \text{ and } 21\),15,2021-02-07 17:23:32 UTC,2021-02-11 01:34:02 UTC,false
60,\( 31 \text{ and } 41 \),15,2021-02-07 17:23:41 UTC,2021-02-11 01:33:46 UTC,true
